type,brom_ref,group,name,version,license-id
library,@babel/helpers@7.24.0,@babel,helpers,7.24.0,MIT
library,@babel/helpers@7.24.6,@babel,helpers,7.24.6,MIT
library,@babel/helpers@7.24.7,@babel,helpers,7.24.7,MIT
library,@babel/helpers@7.24.8,@babel,helpers,7.24.8,MIT
library,@babel/highlight@7.0.0,@babel,highlight,7.0.0,MIT
library,@babel/highlight@7.22.20,@babel,highlight,7.22.20,MIT
library,@babel/highlight@7.23.4,@babel,highlight,7.23.4,MIT
library,@babel/highlight@7.24.1,@babel,highlight,7.24.1,MIT
library,@babel/highlight@7.24.2,@babel,highlight,7.24.2,MIT
library,@babel/highlight@7.24.6,@babel,highlight,7.24.6,MIT
library,@babel/highlight@7.24.7,@babel,highlight,7.24.7,MIT
library,@babel/parser@7.23.0,@babel,parser,7.23.0,MIT
library,@babel/parser@7.23.3,@babel,parser,7.23.3,MIT
library,@babel/parser@7.23.6,@babel,parser,7.23.6,MIT
library,@babel/parser@7.24.0,@babel,parser,7.24.0,MIT
library,@babel/parser@7.24.1,@babel,parser,7.24.1,MIT
library,@babel/parser@7.24.4,@babel,parser,7.24.4,MIT
library,@babel/parser@7.24.6,@babel,parser,7.24.6,MIT
library,@babel/parser@7.24.7,@babel,parser,7.24.7,MIT
library,@babel/parser@7.24.8,@babel,parser,7.24.8,MIT
library,@babel/plugin-bugfix-firefox-class-in-computed-class-key@7.24.7,@babel,plugin-bugfix-firefox-class-in-computed-class-key,7.24.7,MIT
library,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.22.15,@babel,plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.22.15,MIT
library,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.23.3,@babel,plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.23.3,MIT
library,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.24.7,@babel,plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.24.7,MIT
library,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.22.15,@babel,plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.22.15,MIT
library,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.23.3,@babel,plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.23.3,MIT
library,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.24.7,@babel,plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.24.7,MIT
library,@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly@7.23.7,@babel,plugin-bugfix-v8-static-class-fields-redefine-readonly,7.23.7,MIT
library,@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly@7.24.7,@babel,plugin-bugfix-v8-static-class-fields-redefine-readonly,7.24.7,MIT
library,@babel/plugin-proposal-async-generator-functions@7.20.7,@babel,plugin-proposal-async-generator-functions,7.20.7,MIT
library,@babel/plugin-proposal-class-properties@7.18.6,@babel,plugin-proposal-class-properties,7.18.6,MIT
library,@babel/plugin-proposal-decorators@7.23.0,@babel,plugin-proposal-decorators,7.23.0,MIT
library,@babel/plugin-proposal-decorators@7.24.0,@babel,plugin-proposal-decorators,7.24.0,MIT
library,@babel/plugin-proposal-decorators@7.24.7,@babel,plugin-proposal-decorators,7.24.7,MIT
library,@babel/plugin-proposal-nullish-coalescing-operator@7.18.6,@babel,plugin-proposal-nullish-coalescing-operator,7.18.6,MIT
library,@babel/plugin-proposal-numeric-separator@7.18.6,@babel,plugin-proposal-numeric-separator,7.18.6,MIT
library,@babel/plugin-proposal-object-rest-spread@7.20.7,@babel,plugin-proposal-object-rest-spread,7.20.7,MIT
library,@babel/plugin-proposal-optional-chaining@7.21.0,@babel,plugin-proposal-optional-chaining,7.21.0,MIT
library,@babel/plugin-proposal-private-methods@7.18.6,@babel,plugin-proposal-private-methods,7.18.6,MIT
library,@babel/plugin-proposal-private-property-in-object@7.21.0-placeholder-for-preset-env.2,@babel,plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2,MIT
library,@babel/plugin-syntax-async-generators@7.8.4,@babel,plugin-syntax-async-generators,7.8.4,MIT
library,@babel/plugin-syntax-bigint@7.8.3,@babel,plugin-syntax-bigint,7.8.3,MIT
library,@babel/plugin-syntax-class-properties@7.12.13,@babel,plugin-syntax-class-properties,7.12.13,MIT
library,@babel/plugin-syntax-class-static-block@7.14.5,@babel,plugin-syntax-class-static-block,7.14.5,MIT
library,@babel/plugin-syntax-decorators@7.22.10,@babel,plugin-syntax-decorators,7.22.10,MIT
library,@babel/plugin-syntax-decorators@7.24.0,@babel,plugin-syntax-decorators,7.24.0,MIT
library,@babel/plugin-syntax-decorators@7.24.7,@babel,plugin-syntax-decorators,7.24.7,MIT
library,@babel/plugin-syntax-dynamic-import@7.8.3,@babel,plugin-syntax-dynamic-import,7.8.3,MIT
library,@babel/plugin-syntax-export-namespace-from@7.8.3,@babel,plugin-syntax-export-namespace-from,7.8.3,MIT
library,@babel/plugin-syntax-flow@7.23.3,@babel,plugin-syntax-flow,7.23.3,MIT
library,@babel/plugin-syntax-flow@7.24.7,@babel,plugin-syntax-flow,7.24.7,MIT
library,@babel/plugin-syntax-import-assertions@7.22.5,@babel,plugin-syntax-import-assertions,7.22.5,MIT
library,@babel/plugin-syntax-import-assertions@7.23.3,@babel,plugin-syntax-import-assertions,7.23.3,MIT
library,@babel/plugin-syntax-import-assertions@7.24.7,@babel,plugin-syntax-import-assertions,7.24.7,MIT
library,@babel/plugin-syntax-import-attributes@7.22.5,@babel,plugin-syntax-import-attributes,7.22.5,MIT
library,@babel/plugin-syntax-import-attributes@7.23.3,@babel,plugin-syntax-import-attributes,7.23.3,MIT
library,@babel/plugin-syntax-import-attributes@7.24.7,@babel,plugin-syntax-import-attributes,7.24.7,MIT
library,@babel/plugin-syntax-import-meta@7.10.4,@babel,plugin-syntax-import-meta,7.10.4,MIT
library,@babel/plugin-syntax-json-strings@7.8.3,@babel,plugin-syntax-json-strings,7.8.3,MIT
library,@babel/plugin-syntax-jsx@7.22.5,@babel,plugin-syntax-jsx,7.22.5,MIT
library,@babel/plugin-syntax-jsx@7.23.3,@babel,plugin-syntax-jsx,7.23.3,MIT
library,@babel/plugin-syntax-jsx@7.24.6,@babel,plugin-syntax-jsx,7.24.6,MIT
library,@babel/plugin-syntax-jsx@7.24.7,@babel,plugin-syntax-jsx,7.24.7,MIT
library,@babel/plugin-syntax-logical-assignment-operators@7.10.4,@babel,plugin-syntax-logical-assignment-operators,7.10.4,MIT
library,@babel/plugin-syntax-nullish-coalescing-operator@7.8.3,@babel,plugin-syntax-nullish-coalescing-operator,7.8.3,MIT
library,@babel/plugin-syntax-numeric-separator@7.10.4,@babel,plugin-syntax-numeric-separator,7.10.4,MIT
library,@babel/plugin-syntax-object-rest-spread@7.8.3,@babel,plugin-syntax-object-rest-spread,7.8.3,MIT
library,@babel/plugin-syntax-optional-catch-binding@7.8.3,@babel,plugin-syntax-optional-catch-binding,7.8.3,MIT
library,@babel/plugin-syntax-optional-chaining@7.8.3,@babel,plugin-syntax-optional-chaining,7.8.3,MIT
library,@babel/plugin-syntax-private-property-in-object@7.14.5,@babel,plugin-syntax-private-property-in-object,7.14.5,MIT
library,@babel/plugin-syntax-top-level-await@7.14.5,@babel,plugin-syntax-top-level-await,7.14.5,MIT
library,@babel/plugin-syntax-typescript@7.14.5,@babel,plugin-syntax-typescript,7.14.5,MIT
library,@babel/plugin-syntax-typescript@7.22.5,@babel,plugin-syntax-typescript,7.22.5,MIT
library,@babel/plugin-syntax-typescript@7.23.3,@babel,plugin-syntax-typescript,7.23.3,MIT
library,@babel/plugin-syntax-typescript@7.24.6,@babel,plugin-syntax-typescript,7.24.6,MIT
library,@babel/plugin-syntax-typescript@7.24.7,@babel,plugin-syntax-typescript,7.24.7,MIT
library,@babel/plugin-syntax-unicode-sets-regex@7.18.6,@babel,plugin-syntax-unicode-sets-regex,7.18.6,MIT
library,@babel/plugin-transform-arrow-functions@7.22.5,@babel,plugin-transform-arrow-functions,7.22.5,MIT
library,@babel/plugin-transform-arrow-functions@7.23.3,@babel,plugin-transform-arrow-functions,7.23.3,MIT
library,@babel/plugin-transform-arrow-functions@7.24.7,@babel,plugin-transform-arrow-functions,7.24.7,MIT
library,@babel/plugin-transform-async-generator-functions@7.22.15,@babel,plugin-transform-async-generator-functions,7.22.15,MIT
library,@babel/plugin-transform-async-generator-functions@7.23.9,@babel,plugin-transform-async-generator-functions,7.23.9,MIT
library,@babel/plugin-transform-async-generator-functions@7.24.7,@babel,plugin-transform-async-generator-functions,7.24.7,MIT
library,@babel/plugin-transform-async-to-generator@7.22.5,@babel,plugin-transform-async-to-generator,7.22.5,MIT
library,@babel/plugin-transform-async-to-generator@7.23.3,@babel,plugin-transform-async-to-generator,7.23.3,MIT
library,@babel/plugin-transform-async-to-generator@7.24.7,@babel,plugin-transform-async-to-generator,7.24.7,MIT
library,@babel/plugin-transform-block-scoped-functions@7.22.5,@babel,plugin-transform-block-scoped-functions,7.22.5,MIT
library,@babel/plugin-transform-block-scoped-functions@7.23.3,@babel,plugin-transform-block-scoped-functions,7.23.3,MIT
library,@babel/plugin-transform-block-scoped-functions@7.24.7,@babel,plugin-transform-block-scoped-functions,7.24.7,MIT
library,@babel/plugin-transform-block-scoping@7.23.0,@babel,plugin-transform-block-scoping,7.23.0,MIT
library,@babel/plugin-transform-block-scoping@7.23.4,@babel,plugin-transform-block-scoping,7.23.4,MIT
library,@babel/plugin-transform-block-scoping@7.24.7,@babel,plugin-transform-block-scoping,7.24.7,MIT
library,@babel/plugin-transform-class-properties@7.22.5,@babel,plugin-transform-class-properties,7.22.5,MIT
library,@babel/plugin-transform-class-properties@7.23.3,@babel,plugin-transform-class-properties,7.23.3,MIT
library,@babel/plugin-transform-class-properties@7.24.7,@babel,plugin-transform-class-properties,7.24.7,MIT
library,@babel/plugin-transform-class-static-block@7.22.11,@babel,plugin-transform-class-static-block,7.22.11,MIT
library,@babel/plugin-transform-class-static-block@7.23.4,@babel,plugin-transform-class-static-block,7.23.4,MIT
library,@babel/plugin-transform-class-static-block@7.24.7,@babel,plugin-transform-class-static-block,7.24.7,MIT
library,@babel/plugin-transform-classes@7.22.15,@babel,plugin-transform-classes,7.22.15,MIT
library,@babel/plugin-transform-classes@7.23.8,@babel,plugin-transform-classes,7.23.8,MIT
library,@babel/plugin-transform-classes@7.24.7,@babel,plugin-transform-classes,7.24.7,MIT
library,@babel/plugin-transform-computed-properties@7.22.5,@babel,plugin-transform-computed-properties,7.22.5,MIT
library,@babel/plugin-transform-computed-properties@7.23.3,@babel,plugin-transform-computed-properties,7.23.3,MIT
library,@babel/plugin-transform-computed-properties@7.24.7,@babel,plugin-transform-computed-properties,7.24.7,MIT
library,@babel/plugin-transform-destructuring@7.23.0,@babel,plugin-transform-destructuring,7.23.0,MIT
library,@babel/plugin-transform-destructuring@7.23.3,@babel,plugin-transform-destructuring,7.23.3,MIT
library,@babel/plugin-transform-destructuring@7.24.7,@babel,plugin-transform-destructuring,7.24.7,MIT
library,@babel/plugin-transform-dotall-regex@7.22.5,@babel,plugin-transform-dotall-regex,7.22.5,MIT
library,@babel/plugin-transform-dotall-regex@7.23.3,@babel,plugin-transform-dotall-regex,7.23.3,MIT
library,@babel/plugin-transform-dotall-regex@7.24.7,@babel,plugin-transform-dotall-regex,7.24.7,MIT
library,@babel/plugin-transform-duplicate-keys@7.22.5,@babel,plugin-transform-duplicate-keys,7.22.5,MIT
library,@babel/plugin-transform-duplicate-keys@7.23.3,@babel,plugin-transform-duplicate-keys,7.23.3,MIT
library,@babel/plugin-transform-duplicate-keys@7.24.7,@babel,plugin-transform-duplicate-keys,7.24.7,MIT
library,@babel/plugin-transform-dynamic-import@7.22.11,@babel,plugin-transform-dynamic-import,7.22.11,MIT
library,@babel/plugin-transform-dynamic-import@7.23.4,@babel,plugin-transform-dynamic-import,7.23.4,MIT
library,@babel/plugin-transform-dynamic-import@7.24.7,@babel,plugin-transform-dynamic-import,7.24.7,MIT
library,@babel/plugin-transform-exponentiation-operator@7.22.5,@babel,plugin-transform-exponentiation-operator,7.22.5,MIT
library,@babel/plugin-transform-exponentiation-operator@7.23.3,@babel,plugin-transform-exponentiation-operator,7.23.3,MIT
library,@babel/plugin-transform-exponentiation-operator@7.24.7,@babel,plugin-transform-exponentiation-operator,7.24.7,MIT
library,@babel/plugin-transform-export-namespace-from@7.22.11,@babel,plugin-transform-export-namespace-from,7.22.11,MIT
library,@babel/plugin-transform-export-namespace-from@7.23.4,@babel,plugin-transform-export-namespace-from,7.23.4,MIT
library,@babel/plugin-transform-export-namespace-from@7.24.7,@babel,plugin-transform-export-namespace-from,7.24.7,MIT
library,@babel/plugin-transform-flow-strip-types@7.23.3,@babel,plugin-transform-flow-strip-types,7.23.3,MIT
library,@babel/plugin-transform-flow-strip-types@7.24.7,@babel,plugin-transform-flow-strip-types,7.24.7,MIT
library,@babel/plugin-transform-for-of@7.22.15,@babel,plugin-transform-for-of,7.22.15,MIT
library,@babel/plugin-transform-for-of@7.23.6,@babel,plugin-transform-for-of,7.23.6,MIT
